,Test AUC
SOFA_plus_Controls_plus_SDoH,0.7578463390828689
SOFA_plus_Controls,0.7485832766379674
SOFA_plus_insurance,0.7058868203670547
SOFA_plus_ethnicity,0.6972620763772481
SOFA_plus_language,0.693886213149554
SOFA_Only,0.6916207773406023
