covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age,0.011381525919965206,1.0114465419123746,0.0010618006109842444,0.009300434963673464,0.013462616876256949,1.0093438183995684,1.0135536459406114,0.0,10.719080213577021,8.282284882537735e-27,86.6420297345763
sofa,0.0945624625220919,1.0991778184075423,0.010529518309200915,0.07392498586150302,0.11519993918268077,1.0767260327909633,1.1220977664554372,0.0,8.98070165654788,2.6904545993561084e-19,61.688783840923705
charlson_comorbidity_index,0.12477937024939328,1.132898474383607,0.004413496408979644,0.11612907624189632,0.13342966425689023,1.1231408335754325,1.142740887778883,0.0,28.272226526687266,7.588709282041356e-176,581.7354901729997
gender_M,-0.14928390587659313,0.861324545083194,0.023836908400482595,-0.19600338784431928,-0.10256442390886697,0.8220094498334242,0.9025200040134685,0.0,-6.262720960641472,3.783172443177847e-10,31.299684410591684
ethnicity_ASIAN___CHINESE,-0.038354743459458114,0.9623714853402252,0.222032846059757,-0.4735311251215079,0.3968216382025917,0.6227991990179245,1.4870906662314058,0.0,-0.1727435563706438,0.8628530053781607,0.2128132903786149
ethnicity_BLACK_AFRICAN_AMERICAN,-0.29123101237320975,0.7473430125919933,0.09957640088531632,-0.4863971718185521,-0.09606485292786743,0.6148375626603169,0.908405101427816,0.0,-2.9246991233256665,0.0034478941115632933,8.180068816229358
ethnicity_HISPANIC_LATINO___PUERTO_RICAN,-0.22269220443344817,0.8003611590024727,0.2296332257671615,-0.6727650565908398,0.2273806477239435,0.5102956289529162,1.25530760699282,0.0,-0.9697734449772036,0.3321594320883664,1.5900522127335488
ethnicity_OTHER,-0.25363659493129714,0.775973743605484,0.09824970520461729,-0.4462024786240245,-0.06107071123856975,0.6400541616544686,0.94075671535149,0.0,-2.5815506967992143,0.00983575439081501,6.6677485748986145
ethnicity_UNABLE_TO_OBTAIN,0.010214588156418573,1.0102669351445104,0.19056477020433463,-0.3632854981662289,0.38371467447906604,0.6953878731935277,1.4677266020746909,0.0,0.05360166071339365,0.9572525333582239,0.06302852173043236
ethnicity_UNKNOWN,0.4264503914827279,1.5318105342085415,0.08917544037473661,0.2516697400427451,0.6012310429227107,1.2861711962904085,1.8243632880909633,0.0,4.7821506649216525,1.7342960950926872e-06,19.13721833947599
ethnicity_WHITE,-0.1598035551359134,0.8523112046804573,0.07264299067869308,-0.3021812005954307,-0.017425909676396123,0.739204108528802,0.9827250433843441,0.0,-2.1998482392160845,0.027817664128654777,5.167854909056709
