covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age,0.011209486716478844,1.011272548422215,0.0010577376330285929,0.009136359050650158,0.013282614382307531,1.0091782229764918,1.0133712201756295,0.0,10.597606028616955,3.0570554776001196e-26,84.75798773344899
sofa,0.16118083213272,1.1748974088094661,0.002995951699230564,0.15530887470280652,0.16705278956263347,1.1680186768159522,1.1818166512458161,0.0,53.7995429546195,0.0,inf
charlson_comorbidity_index,0.12538057337496758,1.133579781268758,0.004406685824479544,0.11674362786780448,0.13401751888213068,1.1238312737346614,1.1434128507841443,0.0,28.45235135177257,4.557363100667594e-178,589.1150015703738
gender_M,-0.14889302051461592,0.8616612900498302,0.023815294067568535,-0.19557013916828064,-0.10221590186095118,0.8223656614978,0.9028346069533982,0.0,-6.251991686190311,4.0525097266994773e-10,31.20046530041785
ethnicity_ASIAN___CHINESE,-0.02495408025116032,0.9753546990428302,0.1364888061214678,-0.2924672245421073,0.24255906403978664,0.7464197088827115,1.274506524444433,0.0,-0.18282876786945088,0.8549323755499822,0.22611778637081212
ethnicity_BLACK_AFRICAN_AMERICAN,-0.18651748015033368,0.8298440560257105,0.07346193153253701,-0.33050022018885356,-0.042534740111813796,0.7185642031958556,0.9583571715073356,0.0,-2.5389678199207606,0.011118004913810195,6.490958264949557
ethnicity_HISPANIC_LATINO___PUERTO_RICAN,-0.14444541433527316,0.8655021551241674,0.13349232085843019,-0.4060855554304613,0.11719472675991502,0.6662531634102278,1.124338347138689,0.0,-1.0820503636943943,0.2792301496859293,1.8404733709113545
ethnicity_OTHER,-0.13505321884590038,0.8736694147728367,0.0732691561115368,-0.2786581260021553,0.008551688310354522,0.7567985887526985,1.008588358452841,0.0,-1.843247909670345,0.06529282275272899,3.9369317760754927
ethnicity_UNABLE_TO_OBTAIN,0.2645070740213974,1.3027886391143126,0.10947673689827825,0.04993661255580481,0.47907753548698995,1.0512044611000106,1.6145843182869133,0.0,2.4161030143524247,0.01568762236730587,5.994229477291916
ethnicity_UNKNOWN,0.44294558048360705,1.5572875851985253,0.06911415732341458,0.3074843213078793,0.5784068396593348,1.3599994853215867,1.783195250577615,0.0,6.408897939837073,1.465752685863811e-10,32.667639248524125
ethnicity_WHITE,-0.08001532387932335,0.9231022007715255,0.06458334791124763,-0.20659635978638885,0.04656571202774214,0.8133478836524589,1.047666921124419,0.0,-1.2389466707313284,0.2153652483232777,2.2151426217762267
ethnicity_WHITE___OTHER_EUROPEAN,-0.07711007965923933,0.925787937576461,0.10847784463498308,-0.2897227482643377,0.13550258894585904,0.7484710537130257,1.145112160463984,0.0,-0.7108371291733063,0.47718516946301226,1.0673788889762812
ethnicity_WHITE___RUSSIAN,-0.06490449945412155,0.9371569581050105,0.14807369631136005,-0.3551236112821087,0.2253146123738656,0.7010867756169332,1.2527167743989949,0.0,-0.43832565182707706,0.6611502333200081,0.5969499619761077
insurance_Medicare,-0.08495546579392078,0.9185531905276714,0.03841942317701961,-0.16025615152768263,-0.009654780060158935,0.8519255389865886,0.990391677695493,0.0,-2.211263438352101,0.027017599624970898,5.209956685465735
insurance_OTHER,2.8654108948080945,17.556265501081448,1.010384691840582,0.8850932882699525,4.845728501346237,2.423210438051136,127.1959106417312,0.0,2.835960320804422,0.004568812191127345,7.773965145354528
insurance_Other,-0.17593505662210818,0.8386724477902063,0.09214427890478906,-0.3565345246569086,0.004664411412692249,0.7000983003987508,1.0046753067130734,0.0,-1.9093432464092377,0.05621782689640465,4.152828502445188
insurance_Private,-0.11630234406505066,0.8902060340945634,0.042197828233069244,-0.19900856762767383,-0.03359612050242748,0.8195428717646586,0.9669619618947003,0.0,-2.7561215573153075,0.005849125502189384,7.417563339959692
insurance_UNKNOWN,0.5050581450946148,1.657081868841779,0.09572004695566229,0.31745030046303385,0.6926659897261958,1.373620974842454,1.9990378498399848,0.0,5.276409291029273,1.3173967598038468e-07,22.855806757343352
language_English,-0.02065176651460412,0.9795600207826077,0.09461062032809757,-0.20608517491266848,0.16478164188346023,0.8137637610737221,1.1791356167661717,0.0,-0.21828169441217518,0.8272096363297309,0.27367510289488767
language_OTHER,-0.14925554702938848,0.861348971600714,0.10681147460638704,-0.3586021903935216,0.06009109633474466,0.6986522266445253,1.0619332803688295,0.0,-1.397373714569646,0.16230121927473676,2.623254256831368
language_Russian,0.03842422994377908,1.0391719872550154,0.14306615242343812,-0.24198027621287738,0.31882873610043555,0.7850716619854602,1.3755157285444568,0.0,0.26857666396209134,0.7882554721238466,0.3432648146555249
language_Spanish,-0.18526321274554625,0.8308855553990588,0.11774100534830632,-0.41603134273176456,0.045504917240672044,0.6596595946266416,1.0465561507697663,0.0,-1.5734808123770723,0.11560752780188696,3.1126927526814896
language_UNKNOWN,0.35500931884266046,1.4261939446965282,0.14294254321823702,0.07484708227635578,0.6351715554089652,1.0777193358958137,1.8873458980842481,0.0,2.4835805411734646,0.013006891732468608,6.26457994854276
